,title,year,duration,genres,rating,synopsis,directors,stars
413,Mein Schatten über mir,2020.0,89,"
Drama            ",4.9,"
A mother and a daughter are living isolated in the family-owned hostel. The daughter is craving for freedom and independence, but her mother who is driven by the fear of losing her once again tries to keep her close.",Victor Gütay,"Kristin Braun,Cinzia Rizzo,Justus Rämisch,Dorothea Schrader"
414,Do-Gooder,2020.0,61,"
Drama            ",,"
Depressed and heading for a nervous breakdown, Chris is angry at the world. Today, he will get the chance to get his own back.",Craig Handley,
415,Revolutionary Persecution,2020.0,130,"
Drama            ",,"
Jin Lie, an avid supporter of the Communist Revolution during its early stages and leading soldier in the People's Liberation Army, has now been disillusioned by the Great Leap Forward. ...                ",David Ross,David Ross
416,Chelsea vs Arsenal,2020.0,150,"
Action            ",,"
        ",,
417,The Turning,2020.0,94,"
Drama, Horror, Mystery            ",3.9,"
A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""",Floria Sigismondi,"Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,Barbara Marten"
418,Vanguard,2020.0,107,"
Action, Adventure, Comedy            ",4.7,"
Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.",Stanley Tong,"Jackie Chan,Yang Yang,Lun Ai,Miya Muqi"
419,The Man Standing Next,2020.0,114,"
Drama, History, Thriller            ",6.9,"
In the 1970s, Korea is under the absolute control of President Park, who controls the KCIA, the organization with the edge over any branch of government.",Min-ho Woo,"Lee Byung-hun,Lee Sung-min,Kwak Do-won,Lee Hee-joon"
420,The Thief of Baghdad,2020.0,102,"
Action, Adventure, Comedy            ",4.6,"
The search for a lost treasure involves each of the heroes of this film in an atmosphere of suspense and excitement.",Ahmed Khaled,"Mohamed Emam,Fathi Abdulwahhab,Yasmin Raeis,Amina Khalil"
421,Hitman: Agent Jun,2020.0,110,"
Action, Comedy            ",6.3,"
While heavily drunk, an unsuccessful comic book writer draws a comic about his life as a former NIS hitman, and runs into trouble when it gets posted online.",Won-sub Choi,"Jun-ho Jeong,Lee Ji-Won,Joseph Kim,Won-jung Kim"
422,Nightshift,2020.0,95,"
Horror            ",6.2,"
On her first day working as an assistant to a pathologist, a young woman is stuck in the morgue when the dead begin to manifest signs of resurrection.",Yam Laranas,"Yam Concepcion,Michael De Mesa,Mercedes Cabral,Jeffrey Quizon"
